sampleID	isIncluded	subjectID	measurementid	perturbid	exptblock	intv	Clostridium-hiranonis	Clostridium-difficile	Proteus-mirabilis	Clostridium-scindens	Ruminococcus-obeum	Clostridium-ramosum	Bacteroides-ovatus	Akkermansia-muciniphila	Parabacteroides-distasonis	Bacteroides-fragilis	Bacteroides-vulgatus	Enterococcus-faecalis	Klebsiella-oxytoca	Lactobacillus-reuteri	Roseburia-hominis	Escherichia-coli
1	1	1	0.75	0	1	0	122890456.533793	0	110211940.114596	88252418.2120633	2485983.61160742	270060686.340953	617684061.364056	67370155.874561	3148912.57470273	280999014.232025	1732233380.56805	8618076.52023905	1828689544.69842	3314644.81547656	414330.60193457	243460661.696753
2	1	1	1	0	1	0	139769291.317211	0	130984357.046567	45405278.2527662	40272507.6676709	448920011.942567	1603003736.57592	586517746.473776	7501741.62437007	428290222.475549	1763007988.8536	10857783.9300093	1781564928.66126	2368971.03927476	8883641.39728035	275787711.822237
3	1	1	2	0	1	14	112548827.783795	0	118403969.113588	21577280.0857179	152342103.117757	577381992.243458	2412535084.96093	2950449087.49985	17999138.1619557	554720426.726297	956014464.903393	5312998.61407125	971086032.400452	7915283.64953472	164269242.863632	287444067.875569
4	1	1	3	0	1	0	8130392.180293	0	70269818.1296752	9485457.54367517	30198599.5268026	307019095.189159	1023558301.26903	1658890375.92907	43071720.4789332	173351576.129819	258430322.873599	677532.681691083	265979972.7553	2129388.42817198	102307434.935354	96500011.94943
5	1	1	4	0	1	0	6887321.98357842	0	86671150.9022591	14251983.1145336	51416245.3031498	406147423.110822	1285542515.19228	1533213341.37403	59871967.3423946	262263765.830125	320908289.650694	272765.227072413	117834578.095282	681913.067681032	106173864.637937	157862875.168159
6	1	1	6	0	1	0	2097392.03004381	29130.4448617196	46666972.6684749	9991742.58756983	38510448.1071934	167004840.392239	642617613.649535	740495908.384913	34548707.6059995	212506595.266245	31723054.4544127	174782.669170318	51269582.9566266	0	39821318.1259707	76875243.9900781
7	1	1	8	0	1	0	2911695.33851276	0	81654064.9278579	12343056.3263041	82350339.900111	133241710.599334	1139169152.33074	1341848466.98113	74374826.581576	378014012.208657	104061459.489456	63297.7247502775	92477975.8601554	0	82603530.7991121	124823113.207547
8	1	1	10	0	1	0	2933428.34315821	0	73335708.5789553	12480404.2236186	102990002.375246	187952754.205264	1360897410.98227	1355883915.26851	78349204.2927166	482042279.372071	120857247.738118	320010.364708169	67468851.8926389	53335.0607846948	92589665.5222301	178512448.446373
9	1	1	14	0	1	0	11362411.974188	0	85537258.6820896	15320106.0326131	263505823.760945	384023991.217501	2384957506.62704	2347678581.94768	134433930.43618	1332466222.18652	106347069.376389	127667.550271776	118092484.001392	0	314317508.769111	448496104.104747
10	1	1	17	0	1	0	7715760.43599035	0	82679668.2013476	19289401.0899759	282457347.725372	443504935.649132	2256027835.71545	2319645036.95729	186312921.11612	1165004181.12439	240852757.13915	75644.7101567681	174663635.751978	0	225799459.817953	465971414.565692
11	1	1	21	0	1	0	6280310.08317969	0	73452322.2771886	10594610.053364	127681434.560645	215332718.765022	2091179423.52275	2019966168.3187	119271280.188386	443389891.872486	388723888.452809	109222.784055299	109932732.151658	0	149908271.115898	227401836.403132
12	1	1	24	0	1	0	7948545.49349595	0	145486770.193453	17032597.4860627	220714075.756896	412046920.850335	2633381509.65768	3584510140.9419	303747988.501452	808764503.963213	581947080.77381	141938.312383856	172596987.858769	0	217307556.259684	391040050.617524
13	1	1	28	0	1	0	4812238.96006382	0	70296431.867599	7265537.25342969	86573122.4678149	105539005.428066	1634604345.58168	1568742722.16747	120353152.81493	566617548.140848	406539834.498725	188715.253335836	116107059.614873	0	112663006.241494	226269588.749668
14	1	1	28.75	0	1	0	1574610.83914685	82874.2546919393	31823713.8017047	5442076.05810402	57846229.7749737	99034734.3568675	476167842.708319	850041230.375222	57597607.0108978	174643679.38748	105084554.949379	27624.7515639798	38647027.4380077	0	84006869.5060625	88979324.7875789
15	1	1	29	0	1	0	1547329.17529308	998276.887285859	36287364.852841	7187593.58845818	58449111.750587	68481794.4678099	1143027035.94231	1595296379.72717	84204655.4425622	312460665.720474	228006441.05609	99827.6887285859	75819129.589361	0	84204655.4425622	137263072.001806
16	1	1	30	0	1	0	1507838.01436969	10515186.1528413	36743631.6133246	19562214.2390594	8332789.02677988	94279555.8458524	407909862.834749	780782331.809275	16744937.9490529	598849771.391248	113167210.97322	277759.634225996	63725996.0809928	0	34680274.3305029	242841280.209014
17	1	1	31	0	1	0	0	235371563.695288	13017070.8269742	3929681.75908654	30291296.8929588	969157763.834718	915943323.347088	783070958.867974	4912102.19885818	2146261187.4211	22841275.2246905	1555499.02963842	106592617.715222	0	35776477.6816837	524530646.468072
18	1	1	32	0	1	0	0	442970138.725605	2765106.9833059	5944980.01410769	276510.69833059	1556340465.55373	1603485539.61909	4700681.87162003	0	2753355278.62685	362229014.813073	4977192.56995062	318125558.429344	276510.69833059	2626851.63414061	1761649659.06419
19	1	1	34	0	1	0	0	396903601.089405	8933122.62533203	2729565.24662923	606459769.341986	883014357.284557	1114903332.10047	5583201.64083252	0	1697417369.96066	1412550015.13063	496284.590296224	77916680.6765072	124071.147574056	79033321.0046737	1093811237.01288
20	1	1	36	0	1	0	0	286485917.34667	19145194.1544071	6227954.72492761	966601639.807747	1304756514.87233	1447307478.57623	4497967.30133661	230664.989812134	981364199.155723	1789037660.98291	1614654.92868494	131133046.708198	0	118100474.783813	830163298.33387
21	1	1	38	0	1	0	0	436611315.651063	17645953.8658051	25880732.3365141	409218072.983194	773733062.839682	1908451924.76269	5713927.91845117	504170.110451574	822133393.443034	1558053697.99885	2856963.95922559	159653868.309665	0	239984972.574949	349389886.542941
22	1	1	42	0	1	0	0	184074966.866621	45024451.7407146	24688407.7044918	242756835.635353	509526712.199087	1950234127.14905	53353975.3127468	52903730.7953396	927653787.364523	630567446.628708	1050570.54061667	163738922.830399	0	228349011.078324	402668680.067791
23	1	1	45	0	1	0	0	79492040.0173989	23705480.6437582	5736015.65898217	90913310.1348412	177461157.024793	965985645.933014	5736015.65898217	48375424.0974337	398678468.899522	254364375.815572	304567.203131796	61268769.0300131	50761.2005219661	80151935.6241844	141776033.057851
24	1	1	49	0	1	0	0	49515022.4745683	28294298.5568961	4298556.89614384	99465341.8500118	185001182.872013	1177206056.30471	1500958126.33073	54629761.0598533	365812633.073102	303021055.121836	598533.238703572	57459190.9155429	0	104797728.885735	132275845.753489
25	1	1	52	0	1	0	0	31504998.5051582	25644768.2585708	3756557.85037658	137389842.447773	147457417.486782	1299969365.98232	1327868068.95111	31204473.8771281	518304808.475958	297218857.121795	0	47733328.418785	0	107437554.52077	101126537.332137
26	1	1	56	0	1	0	0	105527302.777954	78398279.4058441	22530883.8175153	738691119.44568	1093897400.03814	4719760345.814	3704721039.13716	208065814.845422	1831668891.5729	1014809399.69911	1379441.86637849	160015256.499905	0	400038141.249762	386933443.519166
27	1	2	0.75	0	1	NA	12305536.6292118	0	129257753.706035	62817779.7281536	148857.297934013	112288021.741557	459324002.325053	13893347.8071746	2530574.06487822	218274417.870575	1411117565.31513	18259828.5465723	1461183236.52027	843524.688292741	446571.893802039	393677933.936153
