Sample	Subject	Time	Group	Strain4	Strain6	Strain7	Strain9	Strain13	Strain14	Strain15	Strain16	Strain21	Strain26	Strain27	Strain28	Strain29
1	1	1	High_fiber1	0.71906459458727	0.0363906169523485	0.030792060498141	0.121593647989818	0.000134715264679367	0.000264181882682914	0.0575601585448204	7.12066399019511e-05	0.000116519956203193	0.00181953084761742	1.0672248240833e-06	0.0321916996116929	0
2	1	2	High_fiber1	0.183920933928919	0.0495966563403826	0.148789969021148	0.241094857210193	0.000847276212481536	0.000518927978376225	0.229614149723993	0.00870237627453935	0.00218592670537242	0.00245687140204673	0.0245687140204673	0.107689036220553	1.43049615278048e-05
3	1	3	High_fiber1	0.135236266420258	0.138364507458449	0.0757996866946283	0.0613616511337467	0.000531800976492472	0.00570302404654823	0.245446604534987	0.0135236266420258	0.00167962480358256	0.00567896065394676	0.240633926014693	0.0365763567542333	0.0394639638664097
4	1	4	High_fiber1	0.141833816432599	0.0174341430567219	0.0632737489406001	0.0171438965019485	0.000963618561847671	0.000847519939938313	0.232197243818716	0.0184983804242244	0.000659827167851518	0.00115131133393447	0.297986462900685	0.0553403431101273	0.152669687810806
5	1	5	High_fiber1	0.131478559303252	0.00273232529990773	0.0518441210751723	0.00663231098439142	0.000730955400744547	8.50056759971294e-05	0.213915382454315	0.0165340710455955	0.000185190936993746	0.000439040304600559	0.387663247679217	0.0854727401509598	0.102287049688854
6	1	6	High_fiber1	0.203924611826746	0.00264550847775238	0.0456350212412285	0.00365962006089079	0.000820107628103237	0.000231481991803333	0.183421921124165	0.018386283920379	0.000238095762997714	0.000471782345199174	0.370371186885333	0.0798061724121967	0.0903882063232062
7	1	7	High_fiber1	0.22374819813398	0.0019622518969095	0.0520759080612714	0.0195829175180979	0.000320771753077033	0.000310871390327742	0.164148014383247	0.0157811782223701	0.000229688415783554	0.000289090592279301	0.261369576581286	0.139595114765005	0.120586418286366
8	1	8	High_fiber1	0.223016378105231	0.00130546172549404	0.0425362945556807	0.0133809826863139	0.000697334138368064	0.000249125612615112	0.156655407059284	0.0141425020261854	0.000267619653726277	0.000325277546602264	0.36117774405335	0.106721496059137	0.0795243767780117
9	1	9	High_fiber1	0.28414283878604	0.00237087336821473	0.0441597787667477	0.0134651128698608	0.000959208309277716	0.00063343944952302	0.135918007597654	0.0171209634071079	0.000307670589768324	0.000323959032756059	0.262424914802394	0.113295170114689	0.124878062905967
10	1	10	High_fiber1	0.292752532987976	0.00148121149140936	0.041489431827435	0.00506015967614978	0.0008937676669368	0.000418771835267568	0.13183557776942	0.019581460815752	0.000614586443425088	0.000438159420233659	0.298568808477803	0.117294889044851	0.089570642543341
11	1	11	High_fiber1	0.317260125885685	0.00268300229915671	0.0383845584404902	0.0100465706530467	0.00167638683801325	0.000544434043186545	0.135129312877236	0.0173709710901606	0.000329010500918488	0.000881278127460235	0.285925792464876	0.101640744033747	0.0881278127460235
12	1	12	High_fiber1	0.355968233595379	0.00208901545537195	0.0396077330338521	0.00867359217070432	0.000793825873041339	0.000848975881063159	0.132527140488796	0.0197203058987112	0.000235640943365955	0.000340927322316701	0.295804588480667	0.101776832985721	0.0416131878710091
13	1	13	High_fiber1	0.402043273257645	0.00160370594554994	0.0379707535854442	0.00996173888182831	0.000638802089731591	0.00053829127141718	0.128877204816478	0.0186950122064805	0.000484685501649494	0.000493619796610775	0.27026242257875	0.0913531659790982	0.0370773240893161
14	1	14	High_fiber1	0.393041272044194	0.00102732856623965	0.0425568825592679	0.00777950655701267	0.000772529396776519	0.000382198754194699	0.150168872215506	0.0181883236925279	0.000590917222797478	0.000311722388172982	0.259407239549168	0.0973115976992177	0.0284616093549244
15	1	15	High_fiber1	0.412233623559808	0.00166206295358827	0.0367596861773077	0.0101876844548539	0.00063804312436327	0.000427987774778654	0.111591904466827	0.0202440843162173	0.000420110699169231	0.000427987774778654	0.255742388119269	0.0811338787770577	0.0685305578019808
16	1	16	High_fiber1	0.372155893659034	0.00168149268740834	0.0396604091052693	0.0113005001286247	0.00127673919722442	0.000505262746135623	0.161901396073565	0.0140169665056979	0.000180101720799956	0.000445500485840012	0.237419161356201	0.0611204934841479	0.0983360828500513
17	1	17	High_fiber1	0.409910391104199	0.001813542942461	0.0340349839886517	0.00392520253299779	0.00157008101319911	0.000541578577337669	0.165951600762185	0.0170423350483322	0.000250914845463783	0.000760197452593242	0.228556096858099	0.0529157050334512	0.0827273698410293
18	1	18	High_fiber1	0.660434803857468	0.00233265572722458	0.0245945920956521	0.00433245231330499	0.00160881918219679	0.000480796537208236	0.13710626528081	0.013710626528081	0.000252286095073553	0.00060495828033344	0	0.0634017411703169	0.0911400029323305
19	1	19	High_fiber1	0.349336039018833	0.0033376054683328	0.0311509843711061	0.00676421374915447	0.00192246074975969	0.000712022499910997	0.173332977322083	0.0159315034355086	0.000235857453095518	0.00096568051550429	0.255883085905515	0.053624194524547	0.10680337498665
20	1	20	High_fiber1	0.437622277818486	0.00256282546447451	0.0371978936145713	0.00694725366036846	0.00204314900956506	0.000784984960836909	0.129098571956453	0.019282731616377	0.000216349513596514	0.00129098571956453	0.235769002174709	0.0593525214291321	0.0678314530618653
21	1	21	High_fiber1	0.433276556528836	0.00245294135177701	0.0295728443345078	0.00614381572220783	0.00147634974817233	0.000660230943282035	0.16253602041214	0.0149927443370296	0.000272803757814452	0.000618966509326908	0.231539323859325	0.0557069858394217	0.0607504166561595
22	1	23	High_fiber1	0.401978695129158	0.00163491334959247	0.0314983305884788	0.00767959298157198	0.00123593449547174	0.000533971699499926	0.156591700639866	0.0181490381009806	0.000503973289415661	0.00101394626084818	0.232787662253901	0.0686963590929681	0.0776958821182477
23	1	25	High_fiber1	0.452876431333721	0.00185146541045257	0.00779213859794785	0.0046397634386641	0.00205126383604097	0.000574975469193303	0.131644962637694	0.0178486593525643	0.000652674856922127	0.000672654699480968	0.220666261149862	0.0637134979376363	0.0950152512798199
24	1	27	High_fiber1	0.428565503702714	0.00226955387713534	0.0158292742496648	0.00728100533172353	0.00133869117016815	0.000813352810790634	0.182025133293088	0.016866126274752	0.000463127237872288	0.00100459440652894	0.208061639700834	0.0705059377059303	0.0649760602387985
25	1	29	High_fiber1	0.398587359505283	0.00215119942556528	0.0236807784176668	0.0106680734455826	0.000759074456704914	0.000606673407482305	0.153573364985859	0.0197242127166952	0.000483580252340968	0.000849928928356853	0.213654547852464	0.0729766562623643	0.102284550343635
26	1	31	NA	0.388150463043597	0.00365757167098774	0.0328435007190736	0.00714097326240464	0.00125402457291008	0.00107239006135763	0.179146367558583	0.0180639253954905	0.000398103039019074	0.000773812782093325	0.248565584987534	0.056978497459605	0.0619547854473434
27	1	33	NA	0.461753447961602	0.00231605808372319	0.0391275290114831	0.0098426392854973	0.00117868643295461	0.000362111914454098	0.127589768515706	0.0188103773011726	0.000670757640196853	0.000782550580229662	0.196123701318428	0.0741235798043623	0.0673187921501914
28	1	35	Low_fiber	0.415521925896693	0.00158429592750565	0.0404137763543359	0.00880375221991166	0.00112703207298007	0.000282706698441129	0.162603785613455	0.0138127836553786	0.000366190555698912	0.000487621620801141	0.161655105417343	0.0595771163157815	0.133763907651675
29	1	36	Low_fiber	0.322572751278612	0.00342594508254525	0.0329246670270583	0.00411558337838229	0.00240261083710966	0.000320348111614621	0.0665167259533137	0.0159729127874513	0.000542812078013664	0.00127471852746651	0.278079957998803	0.0449377212126066	0.226913245727023
30	1	37	Low_fiber	0.266360188030562	0.00643703787740526	0.0480928117277404	0.00646170085777846	0.00658501575964446	0.000752220901382607	0.0355146917374083	0.0191877987303498	0.000643703787740526	0.00276225380179842	0.328017638963563	0.0493259607464004	0.229858977078226
31	1	38	Low_fiber	0.15722706151167	0.00526368858104286	0.0352051898602217	0.00299073214831981	0.00509278960113887	0.000666506021625557	0.0218750694277106	0.0147485819657142	0.00030932715362622	0.00227295643272305	0.336670990410858	0.0365723816994536	0.381104725185895
32	1	39	Low_fiber	0.152014569317139	0.00881555493918342	0.0417126258097947	0.00363372874322439	0.00453678559065293	0.000636440063902023	0.018598670786326	0.0156099826484077	0.000453678559065293	0.00273067189579584	0.382724092481622	0.0417126258097947	0.326820573355093
33	1	40	Low_fiber	0.130795589684031	0.00580695313065273	0.0345077725974891	0.00359919778704994	0.00387748627573937	0.000949891374726582	0.0192946685491337	0.00912786242901324	0.00027272271891564	0.00217065021177754	0.437840555538034	0.0289420028237005	0.322814646879737
34	1	41	Low_fiber	0.175608404085548	0.0100254859545757	0.0387594381397202	0.00493695636640011	0.00634442199717208	0.00200076652743584	0.0213934775877338	0.0109782319200213	0.000344287746604219	0.0031397310224913	0.3919250448765	0.0357279737042114	0.298815780071586
