Driver	Score	Group	Normalized_Score
Strain13	0.0567612751528577	High_fiber1	1
Strain4	0.038058221323902	High_fiber1	0.670484220799928
Strain27	0.0289905441063292	High_fiber1	0.510727276762405
Strain15	0.028855633328983	High_fiber1	0.508350379902336
Strain29	0.0275244465097362	High_fiber1	0.484897147825023
Strain6	0.0118983905742411	High_fiber1	0.209592802101708
Strain16	0.00946801401645432	High_fiber1	0.166773729210583
Strain9	0.00368176509021045	High_fiber1	0.0648299321700707
Strain14	0.00240450903201084	High_fiber1	0.0423268677451549
Strain28	0.00175210240422172	High_fiber1	0.0308325802198526
Strain7	0.000871124935486139	High_fiber1	0.0153112659081393
Strain26	0.00051077308269418	High_fiber1	0.00896248337001187
Strain21	2.06964725513117e-06	High_fiber1	0
Strain21	0.138694238142487	Low_fiber	1
Strain14	0.132468465504084	Low_fiber	0.95500501564622
Strain13	0.0648655299818771	Low_fiber	0.466424207646801
Strain27	0.0458183210749614	Low_fiber	0.328765973636865
Strain9	0.0362423420663106	Low_fiber	0.259558334570731
Strain15	0.0350990768444121	Low_fiber	0.25129571340557
Strain4	0.0275980494156412	Low_fiber	0.197084191174101
Strain7	0.0164721021423127	Low_fiber	0.116674601463665
Strain6	0.0120862905569853	Low_fiber	0.084977407376752
Strain29	0.0117081777095497	Low_fiber	0.0822447053263453
Strain16	0.0105105062747978	Low_fiber	0.0735888788775564
Strain26	0.00190030698712437	Low_fiber	0.0113611354739342
Strain28	0.000328312966220561	Low_fiber	0
Strain4	0.0491636163630476	High_fiber2	1
Strain15	0.0266688689989635	High_fiber2	0.542437864724505
Strain27	0.0160809428899348	High_fiber2	0.327070516953289
Strain21	0.0155486447740396	High_fiber2	0.31624312429268
Strain14	0.0110226336489533	High_fiber2	0.224180240404432
Strain6	0.00473234807329982	High_fiber2	0.0962305260598263
Strain29	0.00313918310956483	High_fiber2	0.0638242068932199
Strain28	0.00174425783066767	High_fiber2	0.0354502501276051
Strain16	0.000917322001376022	High_fiber2	0.0186296778552254
Strain9	0.000799930627086749	High_fiber2	0.0162418382847981
Strain13	0.000122116048950982	High_fiber2	0.00245451804185802
Strain26	8.573067914539e-05	High_fiber2	0.00171440892964736
Strain7	1.44661633077925e-06	High_fiber2	0
