Driver	Degree	Group
Strain4	11	High_fiber1
Strain6	14	High_fiber1
Strain7	8	High_fiber1
Strain9	14	High_fiber1
Strain13	19	High_fiber1
Strain14	11	High_fiber1
Strain15	13	High_fiber1
Strain16	9	High_fiber1
Strain21	5	High_fiber1
Strain26	13	High_fiber1
Strain27	6	High_fiber1
Strain28	9	High_fiber1
Strain29	10	High_fiber1
Strain4	7	Low_fiber
Strain6	19	Low_fiber
Strain7	7	Low_fiber
Strain9	8	Low_fiber
Strain13	17	Low_fiber
Strain14	9	Low_fiber
Strain15	12	Low_fiber
Strain16	7	Low_fiber
Strain21	10	Low_fiber
Strain26	14	Low_fiber
Strain27	6	Low_fiber
Strain28	9	Low_fiber
Strain29	17	Low_fiber
Strain4	8	High_fiber2
Strain6	20	High_fiber2
Strain7	9	High_fiber2
Strain9	11	High_fiber2
Strain13	16	High_fiber2
Strain14	10	High_fiber2
Strain15	10	High_fiber2
Strain16	11	High_fiber2
Strain21	8	High_fiber2
Strain26	13	High_fiber2
Strain27	6	High_fiber2
Strain28	9	High_fiber2
Strain29	11	High_fiber2
